desc,gpt4
atorvastatin,0.05
cerebral aneurysm,0.05
apolipoprotein a-i,0.2
aspartate,0.0
almotriptan,0.0
amphiphysin ab,0.1
aluminum hydroxide,0.05
aclidinium,0.0
attention deficit hyperactivity disorder,0.0
amphetamine,0.0
atherosclerosis of aorta,0.05
occlusion of cerebral arteries,0.2
oxcarbazepine,0.1
acetylcholine receptor ab,0.2
alprostadil,0.0
age,0.0
acetoacetate,0.0
adenosine deaminase,0.05
major depressive disorder,0.25
aminoglutethimide,0.1
alteplase,0.05
acetylcholine receptor binding ab,0.25
doxepin,0.25
demoxepam,0.1
acamprosate,0.05
argininosuccinate,0.0
substance addiction and disorders,0.05
adenovirus,0.0
intracerebral hemorrhage,0.1
neuronal nuclear ab,0.25
suicidal ideation,0.25
nordoxepin,0.1
beta aminoisobutyrate,0.1
ascorbate,0.05
glutamate,0.1
doxylamine,0.1
appearance,0.0
methylenedioxyamphetamine,0.0
niacin,0.05
acebutolol,0.0
cerebral edema and compression of brain,0.2
scopolamine,0.2
calcium acetate,0.0
psychogenic disorder,0.1
atropine,0.05
anorexia,0.2
suicidal ideation or attempt,0.25
anorexia nervosa,0.05
amphetamines,0.0
cancer of brain,0.0
acetylcholine receptor modulation ab,0.25
methamphetamine,0.0
adenovirus ag,0.01
adenovirus dna,0.0
nervous system congenital anomalies,0.1
interpretation (aa) (group:iaa),0.0
abnormal findings on study of brain and/or nervous system,0.65
senile cataract,0.1
interpretation (oa) (group:iuoa),0.05
ana screen (hep2) (group:anaord),0.05
ankylosing spondylitis,0.0
interpretation (a. phagocytophilia) (group:aphag-int),0.0
osteoarthrosis,0.05
app gene analysis (group:app),0.2
atrioventricular [av] block,0.05
lordosis (acquired),0.05
alcaftadine,0.0
drusen (degenerative) of retina,0.05
human immunodeficiency virus [hiv] disease,0.0
osteoarthrosis nos,0.05
acute (transverse) myelitis,0.05
migraine,0.05
interpretation (chrom. analysis) (group:caint),0.05
age risk (down's syndrome) (group:tripage),0.25
aplastic anemia,0.0
"osteoarthrosis involving more than one site, but not specified as generalized",0.0
myasthenia gravis,0.05
bipolar,0.05
degenerative disease of the spinal cord,0.05
interpretation (bmca) (group:bcaint),0.1
pervasive developmental disorders,0.1
cryptococcus sp ag,0.0
alcohol-related disorders,0.1
asthma,0.0
interpretation (protein analysis) (group:spaint),0.1
sciatica,0.0
rheumatoid arthritis,0.0
maternal cell contamination,0.0
"macular degeneration, dry",0.05
autoimmunity panel (group:autoimm),0.05
acute reaction to stress,0.1
lyme disease,0.0
interpretation (lupus) (group:lupint),0.0
peripheral autonomic neuropathy,0.1
hidradenitis,0.0
neural tube defects,0.0
sickle cells,0.0
sickle cell anemia,0.0
polyarteritis nodosa,0.0
aspergillosis,0.0
"agorophobia, social phobia, and panic disorder",0.05
concussion,0.05
"vma, urine (pedi) (group:vma-pedi)",0.0
ischemic heart disease,0.05
acute dermatitis due to solar radiation,0.0
pulmonary collapse; interstitial and compensatory emphysema,0.0
asparaginase,0.0
optic atrophy,0.1
pneumonia,0.05
meningitis,0.05
amylase,0.05
levodopa,0.1
sleep disorders,0.3
magnetic resonance imaging,0.25
bacteria,0.0
heart valve disorders,0.0
breast cancer,0.0
candidiasis,0.0
diazepam,0.1
neurofibromatosis,0.0
babesia duncani ab,0.0
mitral valve disease,0.0
purkinje cells ab,0.1
spinal stenosis,0.05
pneumococcal pneumonia,0.05
epstein barr virus ab,0.05
lipoprotein disorders,0.05
systemic sclerosis,0.0
influenza virus a ab,0.0
tuberculosis,0.0
disease of tricuspid valve,0.0
glossodynia,0.1
arteritis nos,0.0
menopausal and postmenopausal disorders,0.1
diseases of pancreas,0.0
speech and language disorder,0.65
psoriasis,0.0
protein,0.05
hodgkin's disease,0.0
influenza virus a,0.0
influenza virus a ag,0.0
disease of capillaries,0.1
herpes zoster,0.05
sleep apnea,0.1
"encephalitis, non-infectious",0.1
other conditions of brain,0.25
mitochondria ab,0.1
pathology,0.1
dopamine,0.1
epstein barr virus nuclear ab,0.05
cardiac arrest,0.0
sarcoidosis,0.0
yeast,0.0
varicella zoster virus ab,0.0
chondromalacia,0.0
alopecia,0.05
alpha-1-antitrypsin deficiency,0.05
vitamin a deficiency,0.1
abdominal aortic aneurysm,0.0
late effects of cerebrovascular disease,0.2
generalized anxiety disorder,0.1
alprazolam,0.1
diabetes mellitus,0.1
emphysema,0.0
"macular degeneration, wet",0.0
chronic pancreatitis,0.0
alcoholic liver damage,0.05
arthropathy associated with neurological disorders,0.25
atherosclerosis of the extremities,0.05
acute rheumatic heart disease,0.0
leukemia,0.0
chronic obstructive asthma,0.0
eating disorder,0.05
vitamin deficiency,0.2
pancreatic cancer,0.0
takayasu's disease,0.0
degenerative skin disorders,0.0
bone cancer,0.0
graves' disease,0.0
hypothyroidism,0.1
atrophic gastritis,0.05
other diseases of lung,0.0
type 2 diabetes with neurological manifestations,0.45
cushing's syndrome,0.05
fracture of unspecified part of femur,0.0
base deficit,0.05
nucleated erythrocytes,0.0
heart failure with preserved ef [diastolic heart failure],0.05
"disorders of fluid, electrolyte, and acid-base balance",0.1
abnormal electrocardiogram [ecg] [ekg],0.05
castor oil / peruvian balsam,0.0
schizophrenia and other psychotic disorders,0.1
procalcitonin,0.0
olanzapine,0.25
fracture of ribs,0.0
cardiac dysrhythmias,0.0
pca-1 ab,0.1
elevated white blood cell count,0.05
"mechanical complication of unspecified genitourinary device, implant, and graft",0.0
erythrocytes.nucleated/100 leukocytes,0.0
glial nuc type 1 ab,0.2
neuronal nuclear type 3 ab,0.25
pca-tr ab,0.1
atrial fibrillation and flutter,0.0
decubitus ulcer,0.1
apixaban,0.0
cv2 igg,0.05
pca-2 ab,0.1
neuronal nuclear type 1 ab,0.25
abnormal chest sounds,0.05
dysphagia,0.65
fracture of lower limb,0.05
platelet mean volume,0.05
right bundle branch block,0.05
hemoglobin,0.05
ampa-receptor ab (group:ampa-r),0.1
erythrocytes,0.0
neuronal nuclear type 2 ab,0.2
adjustment reaction,0.1
lack of coordination,0.25
dysthymic disorder,0.1
"anxiety, phobic and dissociative disorders",0.2
tranylcypromine,0.1
somatoform disorder,0.05
phenelzine sulfate,0.1
other hypertensive complications,0.05
conduct disorders,0.0
tics and choreas,0.05
loxapine,0.1
disturbances of sensation of smell and taste,0.25
psychogenic and somatoform disorders,0.1
other demyelinating diseases of central nervous system,0.1
"other conditions of brain, nos",0.25
posttraumatic stress disorder,0.05
cachexia,0.2
complex regional/central pain syndrome,0.0
dizziness and giddiness (light-headedness and vertigo),0.25
disorders of the autonomic nervous system,0.1
spasm of muscle,0.05
dantrolene,0.05
psychological and psychiatric evaluation and therapy,0.65
gastrointestinal malfunction arising from mental factors,0.25
selegiline,0.25
chronic fatigue syndrome,0.1
muscle weakness,0.1
obsessive-compulsive disorders,0.05
hyperhidrosis,0.05
other paralytic syndromes,0.1
schizoid personality disorder,0.05
impulse control disorder,0.1
cataplexy and narcolepsy,0.05
other nutritional deficiency,0.1
disorders of copper metabolism,0.1
torsion dystonia,0.05
type 2 diabetes with renal manifestations,0.1
hearing devices and audiology supplies,0.1
type 1 diabetes with neurological manifestations,0.2
glycosuria or acetonuria,0.05
"chronic kidney disease, stage iv",0.05
irritable bowel syndrome,0.05
type 1 diabetes with ophthalmic manifestations,0.0
chronic pain syndrome,0.1
diabetic retinopathy,0.05
hyperlipidemia,0.1
nephrotic syndrome without mention of glomerulonephritis,0.0
lupus (localized and systemic),0.0
abdominal pain,0.0
chronic renal failure [ckd],0.05
acidosis,0.05
type 2 diabetes,0.1
polydipsia,0.1
amlodipine,0.0
trazodone,0.1
vitamin b-complex deficiencies,0.2
cholecalciferol,0.05
dextromethorphan / quinidine,0.25
"transportation - patient, provider, equipment",0.05
dorzolamide / timolol,0.0
levothyroxine,0.0
thickenup,0.05
other symptoms/disorders or the urinary system,0.05
escitalopram,0.2
lack of normal physiological development,0.1
oseltamivir,0.0
glove,0.0
failure to thrive (childhood),0.05
mirabegron,0.0
circadian rhythm sleep disorder,0.25
thick-it,0.0
dextran 70 / glycerin / hypromellose,0.0
hypothyroidism nos,0.1
boost,0.0
"alpha keri, topical oil",0.0
hyperplasia of prostate,0.0
dutasteride,0.05
urine calcium oxalate crystals per high power field,0.0
urine triple phosphate crystals,0.0
amorphous urine sediment,0.05
polyethylene glycol 3350,0.0
urine tyrosine crystals per low power field,0.0
urine cystine crystals per low-power field,0.0
urine leucocyte count,0.05
latanoprost,0.0
benzethonium chloride,0.0
"cerebral artery occlusion, with cerebral infarction",0.1
trolamine salicylate,0.0
unavailability and inaccessibility of health-care facilities,0.0
family history of other musculoskeletal diseases,0.0
"fall on same level from slipping, tripping and stumbling with subsequent striking against unspecified sharp object, initial encounter",0.1
difficulty in walking,0.45
suture/staple removal,0.0
chondroitin sulfates / glucosamine / methylsulfonylmethane,0.05
unspecified place in nursing home as the place of occurrence of the external cause,0.1
striking against or struck accidentally by furniture with subsequent fall,0.1
"accidental striking against or bumped into by another person, initial encounter",0.0
"dental abrasion, erosion and attrition",0.0
accidental mechanical suffocation by falling earth or other substance,0.0
other stressful life events affecting family and household,0.1
panthenol,0.0
quetiapinefumarate12.5(1/2x25mg),0.25
bathroom in boarding-house as the place of occurrence of the external cause,0.0
driveway of other non-institutional residence as the place of occurrence of the external cause,0.0
accidental fall from wheelchair,0.1
social exclusion and rejection,0.1
boost high protein liquid,0.1
"ace elastic bandage 4""",0.0
nursing facility clinically eligible,0.1
consult / referral to case management,0.25
"striking against unspecified object with subsequent fall, initial encounter",0.05
bedroom in other non-institutional residence as the place of occurrence of the external cause,0.05
dining room of unspecified non-institutional (private) residence as the place of occurrence of the external cause,0.05
other specified problems related to primary support group,0.2
kitchen in nursing home as the place of occurrence of the external cause,0.05
ferrous bisglycinate,0.05
bedroom of single-family (private) house as the place of occurrence of the external cause,0.0
skin purifying wipes,0.0
disorders of lipoid metabolism,0.1
starch,0.0
kitchen in other non-institutional residence as the place of occurrence of the external cause,0.05
dimethicone / zinc oxide,0.0
consult / referral to gerontology,0.75
always discreet underwear,0.1
"contact with unspecified sharp object(s), initial encounter",0.0
lower gastrointestinal x-ray,0.05
other intraocular therapeutic procedures,0.0
ct scan abdomen,0.05
other non-or therapeutic procedures on musculoskeletal system,0.0
diagnostic ultrasound of heart (echocardiogram),0.05
"repair of retinal tear, detachment",0.0
other non-or therapeutic procedures on skin and breast,0.0
mastectomy,0.0
mammography,0.0
"other therapeutic procedures on eyelids, conjunctiva, cornea",0.05
other diagnostic ultrasound,0.05
electrographic cardiac monitoring,0.0
other or therapeutic procedures on bone,0.0
breast biopsy and other diagnostic procedures on breast,0.0
skin graft,0.0
"debridement of wound, infection or burn",0.0
other ct scan,0.1
intraoperative cholangiogram,0.0
cerebral arteriogram,0.1
arterio- or venogram (not heart and head),0.05
diagnostic ultrasound of urinary tract,0.0
electroencephalogram (eeg),0.25
cardiac stress tests,0.0
swan-ganz catheterization for monitoring,0.0
other therapeutic procedures on muscles and tendons,0.05
other or therapeutic procedures on joints,0.0
other or therapeutic procedures on musculoskeletal system,0.0
"lumpectomy, quadrantectomy of breast",0.0
"incision and drainage, skin and subcutaneous tissue",0.0
suture of skin and subcutaneous tissue,0.0
destruction of lesion of retina and choroid,0.0
other diagnostic procedures on skin and subcutaneous tissue,0.0
other or therapeutic procedures on skin and breast,0.0
ct scan chest,0.0
diagnostic procedures on eye,0.1
myelogram,0.1
routine chest x-ray,0.05
upper gastrointestinal x-ray,0.05
intravenous pyelogram,0.0
contrast aortogram,0.05
contrast arteriogram of femoral and lower extremity arteries,0.0
diagnostic ultrasound of head and neck,0.1
diagnostic ultrasound of gastrointestinal tract,0.0
diagnostic ultrasound of abdomen or retroperitoneum,0.0
"insertion, replacement, or removal of extracranial ventricular shunt",0.1
nonoperative urinary system measurements,0.05
electrocardiogram,0.05
excision of skin lesion,0.0
diverticulosis,0.0
hypovolemia,0.05
other anemias,0.05
heart valve replaced,0.0
pantoprazole 40 mg delayed release oral tablet,0.0
degenerative nervous system disorders without mcc,0.75
creatine kinase (ck),0.05
hyaline casts,0.0
hypercholesterolemia,0.1
green top hold (plasma),0.0
light green top hold,0.0
zovirax,0.0
hip and femur procedures except major joint with cc,0.05
uhold,0.0
pressure ulcer #4- tunneling present,0.1
aspirin 325 mg oral tablet,0.0
"perm cardiac pacemaker implant w/o ami, heart failure or shock",0.0
hearing loss,0.2
folate,0.1
home accidents,0.1
spinal disorders and injuries with cc/mcc,0.05
congestive heart failure (chf) nos,0.05
simvastatin 10 mg oral tablet,0.05
"heparin sodium, porcine 5000 unt/ml injectable solution",0.0
metoprolol tartrate 25 mg oral tablet,0.0
docusate sodium 10 mg/ml oral suspension,0.05
nonrheumatic aortic valve disorders,0.0
cva & precerebral occlusion w infarct,0.1
wbc clumps,0.0
finasteride 5 mg oral tablet,0.0
transitional epithelial cells,0.0
dok,0.0
fluarix 2008-2009 suspension for injection,0.0
simvastatin 40 mg oral tablet,0.1
"adverse effect: other psychotropic drugs, nec",0.2
replacement of the hip joint with a femoral cervicocephalic prosthesis,0.0
fall from a bed - school and public place,0.05
"doppler ultrasound of the abdominal aorta, its visceral branches, and the iliac arteries",0.0
"glucose 2.5% (g2.5), 1 l bag macoflex n",0.0
"fall on the same level due to slipping, misstep - home",0.1
sai fall - school and public place,0.05
chondrocalcinosis,0.0
"risperidone, 0.5 mg orodispersible tablet",0.25
digoxin,0.0
osteosynthesis of subtrochanteric or trochanteric-diaphyseal femur fracture,0.0
"moclobemide - moclamine, 150 mg scored tablet",0.1
"vitabact (picloxydine), single-dose eye drops",0.0
"glucose 5% (g5), iv sol (bag 1000 ml)",0.01
"glucose 5% (g5), bag 1000 ml",0.0
arrhythmia (cardiac) nos,0.05
"occupational therapy and vocational rehabilitation, not elsewhere classified",0.25
bisacodyl,0.0
meprobamate,0.05
sai fall - sai location,0.1
"fall on same level due to slipping, stumbling - unspecified place",0.2
osteitis deformans [paget's disease of bone],0.0
hip joint radiography with 3 views,0.05
"glucose 2.5% (g2.5%), 1 l ecoflac bag",0.0
fall from a chair - school and public place,0.05
"slip, trip, and fall on the same level - collective establishment",0.05
dorzolamide,0.0
"glucose 5% (g5), bag 500 ml",0.0
renal failure nos,0.05
"atrial fibrillation and flutter, unspecified",0.0
miconazole,0.0
"glucose 5% (g5), iv soln (bag 500 ml)",0.0
other vitamin b12 deficiency anemia,0.1
buspirone,0.1
sai fall - street or road,0.0
crystal arthropathies,0.0
"systemic inflammatory response syndrome, unspecified",0.05
electroencephalography on 8 leads or more with a minimum recording duration of 20 minutes without digitization and without video recording,0.1
pathologic fracture of vertebrae,0.1
apolipoprotein b,0.1
aristaah3gm,0.0
anti-nmda receptor,0.1
angiotensin converting enzyme (cerebrospinal fluid),0.1
"adenosine deaminase, cerebrospinal fluid",0.1
cognitive deficit assessment test,0.65
cerebyx,0.1
angers,0.0
ace inhibitor,0.1
acephen,0.0
nordiazepam quantitative,0.1
aspartame,0.0
asacol,0.0
analysis date,0.0
=aminocaproicacid,0.0
autopsy exam,0.2
other cerebral infarction,0.1
acetylcholine neuropil serotonin,0.25
aldioxa,0.0
amoxapine,0.1
cerebrospinal fluid appearance,0.25
psychoses,0.25
durahesive wafer,0.05
ckappa,0.0
Drugs of abuse,0.05
ambulatory continuous electroencephalography with 8 or more leads for at least 24 hours [holter eeg],0.2
charcot-marie-tooth,0.0
march 1,0.0
instant death,0.0
tau conclusion,0.2
antigen/antibody information (units),0.1
axenfeld-rieger syndrome,0.0
abm addition,0.0
id° ena,0.0
stargardt (abca4),0.0
maipa conclusion,0.0
cerebellar-type multiple system atrophy,0.1
rec;enz;dig/liq amio,0.0
"amycor onychoset, pde",0.0
mog antibody disease,0.05
sudden death,0.05
neuronal ceroid lipofuscinosis (ncl 1 -2 -3 -5 -6 -7 - 8),0.1
neuropath (1pity),0.1
decision analysis,0.1
macular neuropathy,0.05
arch-1,0.0
adapt,0.0
sps,0.0
acc research,0.0
ac a nf155 and cntc,0.0
tomaculous neuropathy,0.1
audit,0.0
"insertion of gastric or duodenal sound as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",0.05
basic mobility (am-pac),0.1
huntington dpn(it15),0.0
"campimetry or manual or automated perimetry, without specific threshold measurement program",0.1
"surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",0.0
"electroencephalography on 8 or more leads with a minimum recording duration of 20 minutes, at the patient's bedside",0.2
foley,0.05
aatfec j2 knockout,0.0
csf tau,0.85
easivent,0.0
c26 0,0.1
information,0.0
s comment,0.85
lysosomal storage diseases,0.1
phosphorylated tau protein,0.85
diagnosis,0.0
