desc,gpt4
Salmon (Salmo salar) IgE,0.0
Platelets,0.0
frequency of urination and polyuria,0.1
Gardnerella vaginalis DNA,0.0
Tissue Transglutaminase IgG,0.0
procedures on the urethra,0.0
other therapeutic endocrine procedures,0.1
Alpha hydroxyalprazolam,0.0
Indinavir,0.0
arsenic,0.0
Voltage-gated calcium channel P/Q type binding Ab,0.1
ALPRAZolam,0.75
late effects of cerebrovascular disease,0.25
dementia with cerebral degenerations,0.5
other physical therapy and rehabilitation,0.2
anastrozole,0.1
Coxiella burnetii phase 2 IgG,0.0
Hydroxyproline,0.0
Beta 1 globulin,0.0
Norepinephrine,0.75
HFE gene mutations tested for,0.1
abnormal tumor markers,0.1
Citrulline/Creatinine,0.0
Ovalbumin IgE,0.0
eszopiclone,0.5
Chlamydia trachomatis IgG,0.0
"gastrectomy, partial and total",0.0
Follitropin,0.0
congenital coagulation defects,0.0
Leukocytes,0.0
N-methylhistamine/Creatinine,0.0
erythematosquamous dermatosis,0.0
Base deficit,0.0
"inflammatory disease of cervix, vagina, and vulva",0.0
Fine Granular Casts,0.0
LORazepam,0.75
oral aphthae,0.1
Brucella sp IgM,0.0
Leukocyte phosphatase,0.0
Glucose,0.1
Glomerular filtration rate.predicted among blacks,0.0
Glutamate decarboxylase 65 Ab,0.1
other cns infection and poliomyelitis,0.0
desoximetasone,0.0
throat pain,0.1
painful respiration,0.2
clindamycin,0.0
carbon dioxide (poc) (group:co2-poc),0.0
Mononuclear cells,0.0
"creatinine, time ur (mg/dl) (group:tu-cre)",0.0
Hemoglobin O-Arab/Hemoglobin.total,0.0
simeprevir,0.0
Human papilloma virus 16+18+31+33+35+45+51+52+56 DNA,0.0
norbuprenorphine-glucuronide (group:norbup-gluc),0.0
Brazil Nut (Bertholletia excelsa) IgE,0.0
"tco2, cap, nicu (group:tco2cn)",0.0
Alpha 1 antitrypsin,0.0
Gas delivery source,0.0
dRVVT,0.0
cycloSPORINE,0.0
Cladosporium herbarum IgE,0.0
open wounds of extremities,0.0
Adenovirus Ab,0.0
Glucose-6-Phosphate dehydrogenase,0.0
Coarse Granular Casts,0.0
other diagnostic procedures on lung and bronchus,0.0
cardiac and circulatory congenital anomalies,0.0
"protein, timed urine (mg/tv) (group:utpmgtv)",0.0
Specimen volume,0.0
"docusate / sennosides, USP",0.0
Chlamydophila pneumoniae Ab,0.0
guaifenesin / pseudoephedrine,0.0
infectious and parasitic complications affecting pregnancy,0.0
Coagulation factor X activity actual/Normal,0.0
stress fracture,0.1
alcoholic liver damage,0.25
nontraumatic compartment syndrome,0.0
Hepatitis D virus Ab,0.0
hct (bg) (group:hct bg),0.0
nausea and vomiting,0.2
Creatinine dialysis fluid clearance,0.0
Fat emulsion,0.0
Penicillium notatum IgE,0.0
primidone,0.0
fiber,0.0
Deprecated C trach rRNA XXX Ql Prb,0.0
Sjogrens syndrome-B extractable nuclear Ab,0.2
Cocksfoot (Dactylis glomerata) IgE,0.0
"other diagnostic procedures (interview, evaluation, consultation)",0.5
Deprecated Mean Glucose Bld gHb Est-aCnc,0.0
Tetrahydrocannabinol,0.2
Ethanol,0.2
Barbiturates,0.5
clonazePAM,0.75
Phencyclidine,0.2
Oxazepam,0.75
Choriogonadotropin,0.0
Leptin,0.0
Epithelial cells,0.0
Bacteria,0.0
Clue cells,0.0
Yeast,0.0
M-chlorophenylpiperazine,0.75
Ibuprofen,0.0
Methamphetamine,0.5
6-Monoacetylmorphine,0.0
Benzoylecgonine,0.0
Methadone,0.2
Amphetamine,0.25
sleep related movement disorders,0.3
restless legs syndrome,0.25
migraine,0.25
ethanol (tox panel) (group:tox1),0.2
ats (tox panel) (group:tox2),0.1
barbiturates (tox panel) (group:tox3),0.2
benzo (tox panel) (group:tox4),0.2
tricyclics (tox panel) (group:tox5),0.75
other findings (tox) (group:otfi),0.1
develomental delays and disorders,0.25
nicotine polacrilex,0.1
PARoxetine,1.0
Barbiturates Concentration,0.2
other signs and symptoms involving emotional state,0.75
other tests,0.0
"persons with potential health hazards related to socioeconomic, psychosocial, and other circumstances",0.75
Drug Screen Creatinine Concentration,0.0
"Down Syndrome Interpretation, Risk",0.2
persons encountering health services in circumstances related to reproduction,0.2
AMPHETAMINE RESIN COMPLEX,0.2
venlafaxine hydrochloride,1.0
MEDICATION ORGANIZER,0.0
OLANZapine,0.75
cetyl lactate,0.0
"other diagnostic procedures, female organs",0.0
mammography,0.0
Phenylpropanolamine,0.0
Choriogonadotropin (pregnancy test),0.0
Deprecated Cyanocobalamin.true Ser-mCnc,0.0
Buprenorphine,0.25
HYDROmorphone,0.0
17-Hydroxypregnenolone,0.2
ovarian dysfunction,0.2
other endocrine disorders,0.2
disorders of the autonomic nervous system,0.2
other headache syndromes,0.2
palpitations,0.3
irritable bowel syndrome,0.25
abnormal findings on mammogram or breast exam,0.0
lump or mass in breast,0.0
other nonmalignant breast conditions,0.0
inflammatory diseases of female pelvic organs,0.1
vaginitis and vulvovaginitis,0.0
disorders of menstruation and other abnormal bleeding from female genital tract,0.2
irregular menstrual cycle/bleeding,0.2
menopausal and postmenopausal disorders,0.3
symptomatic menopause,0.5
diseases of sebaceous glands,0.1
acne,0.0
myalgia and myositis unspecified,0.1
symptoms of the muscles,0.2
abnormal papanicolaou smear of cervix and cervical hpv,0.0
amphetamine,0.35
mild cognitive impairment,0.3
cervical intraepithelial neoplasia [cin] [cervical dysplasia],0.0
voice disturbance,0.2
benign mammary dysplasias,0.0
cystic mastopathy,0.0
ovarian cyst,0.0
papanicolaou smear of cervix or vagina with atypical squamous cells,0.0
interpretation (tox) (group:toxint),0.0
galactorrhea,0.1
hirsutism,0.2
other disorders of carbohydrate transport and metabolism,0.1
"rheumatism, unspecified and fibrositis",0.2
Cocaethylene,0.0
Cocaine+Benzoylecgonine,0.2
Urine Cocaine Test,0.1
Chlamydia trachomatis and Neisseria gonorrhoeae DNA,0.0
Chlamydia trachomatis+Neisseria gonorrhoeae DNA,0.0
Chlamydia trachomatis+Neisseria gonorrhoeae rRNA,0.0
Oxycodone Quantitative Analysis by Gas Chromatography-Mass Spectrometry,0.0
CONTACT LENS CLEANING SOLUTION,0.0
Tramadol Concentration,0.1
Urine Oxycodone Qualitative Screening,0.0
CCS:998,0.0
CCS:999,0.0
african american,0.0
Carboxy tetrahydrocannabinol,0.0
INR,0.0
fentaNYL,0.0
Leukocyte clumps,0.0
Cotinine,0.0
Naloxone,0.0
Bifidobacterium longum,0.0
albiglutide,0.0
Chamomile Oil,0.0
aspirin / calcium carbonate,0.0
extrapyramidal disease and abnormal movement disorders,0.2
complex regional/central pain syndrome,0.25
valproic acid,0.75
sumatriptan,0.1
ibuprofen,0.0
melatonin,0.2
naloxone,0.0
clonidine,0.2
hypersomnia,0.7
temazepam,0.5
buprenorphine,0.25
dextroamphetamine,0.5
nicotine,0.2
lisdexamfetamine,0.25
methohexital,0.0
Norclozapine,0.0
Nordiazepam,0.2
Chloral hydrate,0.2
Amitriptyline+Nortriptyline,0.75
diphenhydrAMINE,0.1
other findings ii (tox) (group:otfii),0.0
cloZAPine+Norclozapine,0.75
"nortriptyline, quantitative.",0.75
oxyCODONE,0.0
"thc/cannabinoids, urine (confirm) (group:uthccfm)",0.0
thiamine,0.0
chlordiazepoxide,0.5
pain in joint,0.2
acamprosate,0.5
cervicalgia,0.2
premenstrual tension syndromes,0.6
gabapentin,0.5
7-Aminoclonazepam,0.0
toxic effect of (non-ethyl) alcohol and petroleum and other solvents,0.2
delirium dementia and amnestic and other cognitive disorders,0.4
delirium due to conditions classified elsewhere,0.25
mode,0.0
CONNECTOR,0.0
specimen source,0.0
Specimen source,0.0
ENSURE,0.0
labetalol,0.0
Lactate dehydrogenase,0.0
prophylaxis,0.1
screener,0.5
called results,0.0
quantitative count,0.1
clerical check,0.0
chemotherapy,0.2
edrophonium,0.0
cerebral ischemia,0.2
DIAPER,0.0
MEDICATION DISPOSAL,0.0
Reducing substances,0.0
dislocation,0.0
FILTER,0.0
Morphology,0.0
product order,0.0
COVERLET,0.0
specific nonpsychotic mental disorders due to brain damage,0.5
facial weakness,0.2
adrenal hypofunction,0.2
ischemic heart disease,0.2
"overweight, obesity and other hyperalimentation",0.2
torsion dystonia,0.2
zolpidem,0.25
perphenazine,0.75
"Carbamazepine 10,11-Epoxide",0.0
Patient symptoms,0.0
Acetaminophen,0.0
Procedure type,0.0
SaO2% Device Class,0.0
Specimen condition Ur-Imp,0.0
Citation Ref Lab Test,0.0
Character Ur,0.0
Rh Bld,0.0
Compn Stone,0.0
Spec container Spec,0.0
Suberate Ur Ql,0.0
Laboratory comment Report,0.0
Dexamethasone SerPl-mCnc,0.1
Nidus Stone Ql,0.0
Interpretation SerPl IFE-Imp,0.0
Interpretation Ur IFE-Imp,0.0
Interpretation SerPl IEP-Imp,0.0
Interpretation CSF IFE-Imp,0.0
Interpretation Ur IEP-Imp,0.0
Symptoms 2.5h p Lac PO Patient-Imp,0.0
Sex Abstin duration Time Patient,0.1
Hypochromia Bld Ql Smear,0.0
Buprenorphine Ur Ql,0.1
oxyCODONE Ur Ql,0.1
Lithium SerPl-sCnc,0.75
Nortrip SerPl Scn-mCnc,0.75
FLUoxetine SerPl Scn-mCnc,1.0
clomiPRAMINE SerPl-mCnc,0.9
LORazepam Ur Ql Scn,0.25
clonazePAM Ur-mCnc,0.5
LORazepam Sal-mCnc,0.25
Barbiturates Gast Ql,0.1
LORazepam SerPl Scn-mCnc,0.5
Amitrip Peak SerPl-mCnc,0.75
Nortrip Ur Ql Cfm,0.75
Temazepam Ur Cfm-mCnc,0.2
Desipramine Ur-mCnc,0.75
carBAMazepine SerPl-mCnc,0.5
Amitrip Ur-mCnc,0.75
Venlafaxine SerPl Ql,0.9
carBAMazepine SerPl Scn-mCnc,0.5
Imipramine Ur Ql,0.75
Imipramine SerPl-mCnc,0.75
Yellow Hornet IgE Qn,0.0
Peanut (nAra h) 3 IgE Qn,0.0
Cholest SerPl-mCnc,0.0
Ceruloplasmin SerPl-mCnc,0.0
Salmon IgE Qn,0.0
G vaginalis DNA Vag Ql Probe+sig amp,0.0
VGCC-P/Q Bind Ab Ser-sCnc,0.1
Alpraz SerPl-mCnc,0.75
C burnet Ph2 IgG Ser-aCnc,0.0
Beta1 Glob SerPl Elph-mCnc,0.0
Norepineph Plas-mCnc,0.75
Citrulline/Creat Ur-Rto,0.0
Ovalb IgE Qn,0.0
C trach IgG Titr Ser,0.0
WBC # Smn,0.0
Fine Gran Casts #/area UrnS HPF,0.0
Glucose 1.5h p Glc SerPl-mCnc,0.0
GAD65 Ab Ser IA-aCnc,0.2
Mononuc Cells # Fld Manual,0.0
Hgb O-Arab MFr Bld,0.0
Gas deliv source Respiratory,0.0
C herbarum IgE Qn,0.0
HAdV Ab Titr Ser,0.0
G6PD RBC-cCnc,0.0
Coarse Gran Casts #/area UrnS HPF,0.0
Specimen vol Smn,0.0
C pneum Ab Titr Ser,0.0
WBC UrnS Ql Micro,0.0
Creat Cl Dial fld+SerPl-vRate,0.0
Salicylates,0.0
