name1,name2,desc1,desc2
CCS:1,PheCode:225,incision and excision of cns,benign neoplasm of brain and other parts of nervous system
CCS:1,PheCode:225.1,incision and excision of cns,"benign neoplasm of brain, cranial nerves, meninges"
CCS:1,PheCode:331.1,incision and excision of cns,hydrocephalus
CCS:1,PheCode:348.2,incision and excision of cns,cerebral edema and compression of brain
CCS:1,PheCode:348.4,incision and excision of cns,cerebral cysts
CCS:1,PheCode:348.9,incision and excision of cns,"other conditions of brain, nos"
CCS:1,PheCode:430,incision and excision of cns,intracranial hemorrhage
CCS:1,PheCode:430.1,incision and excision of cns,subarachnoid hemorrhage
CCS:1,PheCode:430.2,incision and excision of cns,intracerebral hemorrhage
CCS:1,PheCode:430.3,incision and excision of cns,subdural hemorrhage
CCS:1,PheCode:818,incision and excision of cns,intracranial hemorrhage (injury)
CCS:1,PheCode:818.1,incision and excision of cns,subdural hemorrhage (injury)
CCS:1,PheCode:855,incision and excision of cns,"complication of nervous system device, implant, and graft"
CCS:10,PheCode:193,"thyroidectomy, partial or complete",thyroid cancer
CCS:10,PheCode:226,"thyroidectomy, partial or complete",benign neoplasm of thyroid glands
CCS:10,PheCode:227.2,"thyroidectomy, partial or complete",benign neoplasm of parathyroid gland
CCS:10,PheCode:240,"thyroidectomy, partial or complete",simple and unspecified goiter
CCS:10,PheCode:241,"thyroidectomy, partial or complete",nontoxic nodular goiter
CCS:10,PheCode:241.1,"thyroidectomy, partial or complete",nontoxic uninodular goiter
CCS:10,PheCode:241.2,"thyroidectomy, partial or complete",nontoxic multinodular goiter
CCS:10,PheCode:242.2,"thyroidectomy, partial or complete",toxic multinodular goiter
CCS:100,PheCode:189,endoscopy and endoscopic biopsy of the urinary tract,cancer of urinary organs (incl. kidney and bladder)
CCS:100,PheCode:189.2,endoscopy and endoscopic biopsy of the urinary tract,cancer of bladder
CCS:100,PheCode:189.21,endoscopy and endoscopic biopsy of the urinary tract,malignant neoplasm of bladder
CCS:100,PheCode:189.4,endoscopy and endoscopic biopsy of the urinary tract,malignant neoplasm of other urinary organs
CCS:100,PheCode:223,endoscopy and endoscopic biopsy of the urinary tract,benign neoplasm of kidney and other urinary organs
CCS:100,PheCode:586.4,endoscopy and endoscopic biopsy of the urinary tract,stricture/obstruction of ureter
CCS:100,PheCode:592.12,endoscopy and endoscopic biopsy of the urinary tract,chronic cystitis
CCS:100,PheCode:593,endoscopy and endoscopic biopsy of the urinary tract,hematuria
CCS:100,PheCode:593.1,endoscopy and endoscopic biopsy of the urinary tract,gross hematuria
CCS:100,PheCode:593.2,endoscopy and endoscopic biopsy of the urinary tract,microscopic hematuria
CCS:100,PheCode:594.2,endoscopy and endoscopic biopsy of the urinary tract,calculus of lower urinary tract
CCS:100,PheCode:594.3,endoscopy and endoscopic biopsy of the urinary tract,calculus of ureter
CCS:100,PheCode:595,endoscopy and endoscopic biopsy of the urinary tract,hydronephrosis
CCS:100,PheCode:596.1,endoscopy and endoscopic biopsy of the urinary tract,bladder neck obstruction
CCS:100,PheCode:597,endoscopy and endoscopic biopsy of the urinary tract,other disorders of urethra and urinary tract
CCS:100,PheCode:597.1,endoscopy and endoscopic biopsy of the urinary tract,urethral stricture (not specified as infectious)
CCS:100,PheCode:599,endoscopy and endoscopic biopsy of the urinary tract,other symptoms/disorders or the urinary system
CCS:100,PheCode:599.1,endoscopy and endoscopic biopsy of the urinary tract,urinary obstruction
CCS:100,PheCode:599.2,endoscopy and endoscopic biopsy of the urinary tract,retention of urine
CCS:100,PheCode:599.4,endoscopy and endoscopic biopsy of the urinary tract,urinary incontinence
CCS:100,PheCode:599.5,endoscopy and endoscopic biopsy of the urinary tract,frequency of urination and polyuria
CCS:100,PheCode:599.8,endoscopy and endoscopic biopsy of the urinary tract,other symptoms involving urinary system
CCS:100,PheCode:599.9,endoscopy and endoscopic biopsy of the urinary tract,other abnormality of urination
CCS:101,PheCode:189,"transurethral excision, drainage, or removal urinary obstruction",cancer of urinary organs (incl. kidney and bladder)
CCS:101,PheCode:189.2,"transurethral excision, drainage, or removal urinary obstruction",cancer of bladder
CCS:101,PheCode:189.21,"transurethral excision, drainage, or removal urinary obstruction",malignant neoplasm of bladder
CCS:101,PheCode:189.4,"transurethral excision, drainage, or removal urinary obstruction",malignant neoplasm of other urinary organs
CCS:101,PheCode:223,"transurethral excision, drainage, or removal urinary obstruction",benign neoplasm of kidney and other urinary organs
CCS:101,PheCode:586.4,"transurethral excision, drainage, or removal urinary obstruction",stricture/obstruction of ureter
CCS:101,PheCode:590,"transurethral excision, drainage, or removal urinary obstruction",pyelonephritis
CCS:101,PheCode:592.12,"transurethral excision, drainage, or removal urinary obstruction",chronic cystitis
CCS:101,PheCode:593,"transurethral excision, drainage, or removal urinary obstruction",hematuria
CCS:101,PheCode:593.1,"transurethral excision, drainage, or removal urinary obstruction",gross hematuria
CCS:101,PheCode:594,"transurethral excision, drainage, or removal urinary obstruction",urinary calculus
CCS:101,PheCode:594.1,"transurethral excision, drainage, or removal urinary obstruction",calculus of kidney
CCS:101,PheCode:594.2,"transurethral excision, drainage, or removal urinary obstruction",calculus of lower urinary tract
CCS:101,PheCode:594.3,"transurethral excision, drainage, or removal urinary obstruction",calculus of ureter
CCS:101,PheCode:594.8,"transurethral excision, drainage, or removal urinary obstruction",renal colic
CCS:101,PheCode:595,"transurethral excision, drainage, or removal urinary obstruction",hydronephrosis
CCS:101,PheCode:596.1,"transurethral excision, drainage, or removal urinary obstruction",bladder neck obstruction
CCS:101,PheCode:597,"transurethral excision, drainage, or removal urinary obstruction",other disorders of urethra and urinary tract
CCS:101,PheCode:597.1,"transurethral excision, drainage, or removal urinary obstruction",urethral stricture (not specified as infectious)
CCS:101,PheCode:599.1,"transurethral excision, drainage, or removal urinary obstruction",urinary obstruction
CCS:102,PheCode:189.2,ureteral catheterization,cancer of bladder
CCS:102,PheCode:189.21,ureteral catheterization,malignant neoplasm of bladder
CCS:102,PheCode:189.4,ureteral catheterization,malignant neoplasm of other urinary organs
CCS:102,PheCode:586,ureteral catheterization,other disorders of the kidney and ureters
CCS:102,PheCode:586.4,ureteral catheterization,stricture/obstruction of ureter
CCS:102,PheCode:590,ureteral catheterization,pyelonephritis
CCS:102,PheCode:593.1,ureteral catheterization,gross hematuria
CCS:102,PheCode:594,ureteral catheterization,urinary calculus
CCS:102,PheCode:594.1,ureteral catheterization,calculus of kidney
CCS:102,PheCode:594.2,ureteral catheterization,calculus of lower urinary tract
CCS:102,PheCode:594.3,ureteral catheterization,calculus of ureter
CCS:102,PheCode:594.8,ureteral catheterization,renal colic
CCS:102,PheCode:595,ureteral catheterization,hydronephrosis
CCS:102,PheCode:597,ureteral catheterization,other disorders of urethra and urinary tract
CCS:102,PheCode:599.1,ureteral catheterization,urinary obstruction
CCS:103,PheCode:586.4,nephrotomy and nephrostomy,stricture/obstruction of ureter
CCS:103,PheCode:590,nephrotomy and nephrostomy,pyelonephritis
CCS:103,PheCode:594,nephrotomy and nephrostomy,urinary calculus
CCS:103,PheCode:594.1,nephrotomy and nephrostomy,calculus of kidney
CCS:103,PheCode:594.2,nephrotomy and nephrostomy,calculus of lower urinary tract
CCS:103,PheCode:594.3,nephrotomy and nephrostomy,calculus of ureter
CCS:103,PheCode:595,nephrotomy and nephrostomy,hydronephrosis
CCS:103,PheCode:599.1,nephrotomy and nephrostomy,urinary obstruction
CCS:103,PheCode:751.3,nephrotomy and nephrostomy,obstructive genitourinary defect
CCS:103,PheCode:857,nephrotomy and nephrostomy,"mechanical complication of unspecified genitourinary device, implant, and graft"
CCS:104,PheCode:189.1,"nephrectomy, partial or complete",cancer of kidney and renal pelvis
CCS:104,PheCode:189.11,"nephrectomy, partial or complete","malignant neoplasm of kidney, except pelvis"
CCS:104,PheCode:189.12,"nephrectomy, partial or complete",malignant neoplasm of renal pelvis
CCS:104,PheCode:223,"nephrectomy, partial or complete",benign neoplasm of kidney and other urinary organs
CCS:106,PheCode:597,genitourinary incontinence procedures,other disorders of urethra and urinary tract
CCS:106,PheCode:597.8,genitourinary incontinence procedures,urethral hypermobility/isd
CCS:106,PheCode:599.4,genitourinary incontinence procedures,urinary incontinence
CCS:106,PheCode:618,genitourinary incontinence procedures,genital prolapse
CCS:106,PheCode:618.1,genitourinary incontinence procedures,prolapse of vaginal walls
CCS:106,PheCode:618.2,genitourinary incontinence procedures,uterine/uterovaginal prolapse
CCS:106,PheCode:618.5,genitourinary incontinence procedures,prolapse of vaginal vault after hysterectomy
CCS:107,PheCode:586.4,"extracorporeal lithotripsy, urinary",stricture/obstruction of ureter
CCS:107,PheCode:590,"extracorporeal lithotripsy, urinary",pyelonephritis
CCS:107,PheCode:594,"extracorporeal lithotripsy, urinary",urinary calculus
CCS:107,PheCode:594.1,"extracorporeal lithotripsy, urinary",calculus of kidney
CCS:107,PheCode:594.2,"extracorporeal lithotripsy, urinary",calculus of lower urinary tract
CCS:107,PheCode:594.3,"extracorporeal lithotripsy, urinary",calculus of ureter
CCS:107,PheCode:594.8,"extracorporeal lithotripsy, urinary",renal colic
CCS:107,PheCode:595,"extracorporeal lithotripsy, urinary",hydronephrosis
CCS:108,PheCode:596.1,indwelling catheter,bladder neck obstruction
CCS:108,PheCode:597,indwelling catheter,other disorders of urethra and urinary tract
CCS:108,PheCode:599,indwelling catheter,other symptoms/disorders or the urinary system
CCS:108,PheCode:599.2,indwelling catheter,retention of urine
CCS:109,PheCode:592.12,procedures on the urethra,chronic cystitis
CCS:109,PheCode:593,procedures on the urethra,hematuria
CCS:109,PheCode:594.2,procedures on the urethra,calculus of lower urinary tract
CCS:109,PheCode:596.1,procedures on the urethra,bladder neck obstruction
CCS:109,PheCode:597,procedures on the urethra,other disorders of urethra and urinary tract
CCS:109,PheCode:597.1,procedures on the urethra,urethral stricture (not specified as infectious)
CCS:109,PheCode:599,procedures on the urethra,other symptoms/disorders or the urinary system
CCS:109,PheCode:599.2,procedures on the urethra,retention of urine
CCS:109,PheCode:604.1,procedures on the urethra,redundant prepuce and phimosis/bxo
CCS:11,PheCode:226,diagnostic endocrine procedures,benign neoplasm of thyroid glands
CCS:11,PheCode:241,diagnostic endocrine procedures,nontoxic nodular goiter
CCS:11,PheCode:241.1,diagnostic endocrine procedures,nontoxic uninodular goiter
CCS:11,PheCode:241.2,diagnostic endocrine procedures,nontoxic multinodular goiter
CCS:110,PheCode:580,other diagnostic procedures of urinary tract,nephritis; nephrosis; renal sclerosis
CCS:110,PheCode:580.1,other diagnostic procedures of urinary tract,glomerulonephritis
CCS:110,PheCode:580.11,other diagnostic procedures of urinary tract,proliferative glomerulonephritis
CCS:110,PheCode:580.12,other diagnostic procedures of urinary tract,non-proliferative glomerulonephritis
CCS:110,PheCode:580.13,other diagnostic procedures of urinary tract,"acute glomerulonephritis, nos"
CCS:110,PheCode:580.2,other diagnostic procedures of urinary tract,nephrotic syndrome without mention of glomerulonephritis
CCS:110,PheCode:580.3,other diagnostic procedures of urinary tract,nephritis and nephropathy without mention of glomerulonephritis
CCS:110,PheCode:580.32,other diagnostic procedures of urinary tract,nephritis and nephropathy with pathological lesion
CCS:110,PheCode:580.4,other diagnostic procedures of urinary tract,"renal sclerosis, nos"
CCS:110,PheCode:587,other diagnostic procedures of urinary tract,kidney replaced by transpant
CCS:111,PheCode:586.4,other non-or therapeutic procedures of urinary tract,stricture/obstruction of ureter
CCS:111,PheCode:592.12,other non-or therapeutic procedures of urinary tract,chronic cystitis
CCS:111,PheCode:593.1,other non-or therapeutic procedures of urinary tract,gross hematuria
CCS:111,PheCode:594.2,other non-or therapeutic procedures of urinary tract,calculus of lower urinary tract
CCS:111,PheCode:595,other non-or therapeutic procedures of urinary tract,hydronephrosis
CCS:111,PheCode:596,other non-or therapeutic procedures of urinary tract,other disorders of bladder
CCS:111,PheCode:596.5,other non-or therapeutic procedures of urinary tract,functional disorders of bladder
CCS:111,PheCode:597,other non-or therapeutic procedures of urinary tract,other disorders of urethra and urinary tract
CCS:111,PheCode:597.1,other non-or therapeutic procedures of urinary tract,urethral stricture (not specified as infectious)
CCS:111,PheCode:599.1,other non-or therapeutic procedures of urinary tract,urinary obstruction
CCS:111,PheCode:599.2,other non-or therapeutic procedures of urinary tract,retention of urine
CCS:111,PheCode:857,other non-or therapeutic procedures of urinary tract,"mechanical complication of unspecified genitourinary device, implant, and graft"
CCS:112,PheCode:189.4,other or therapeutic procedures of urinary tract,malignant neoplasm of other urinary organs
CCS:112,PheCode:586.4,other or therapeutic procedures of urinary tract,stricture/obstruction of ureter
CCS:112,PheCode:590,other or therapeutic procedures of urinary tract,pyelonephritis
CCS:112,PheCode:593.1,other or therapeutic procedures of urinary tract,gross hematuria
CCS:112,PheCode:594.2,other or therapeutic procedures of urinary tract,calculus of lower urinary tract
CCS:112,PheCode:595,other or therapeutic procedures of urinary tract,hydronephrosis
CCS:112,PheCode:597,other or therapeutic procedures of urinary tract,other disorders of urethra and urinary tract
CCS:112,PheCode:597.1,other or therapeutic procedures of urinary tract,urethral stricture (not specified as infectious)
CCS:112,PheCode:597.2,other or therapeutic procedures of urinary tract,urinary complications nec
CCS:112,PheCode:599.1,other or therapeutic procedures of urinary tract,urinary obstruction
CCS:112,PheCode:857,other or therapeutic procedures of urinary tract,"mechanical complication of unspecified genitourinary device, implant, and graft"
CCS:113,PheCode:593,transurethral resection of prostate (turp),hematuria
CCS:113,PheCode:593.1,transurethral resection of prostate (turp),gross hematuria
CCS:113,PheCode:594.2,transurethral resection of prostate (turp),calculus of lower urinary tract
CCS:113,PheCode:596.1,transurethral resection of prostate (turp),bladder neck obstruction
CCS:113,PheCode:597.1,transurethral resection of prostate (turp),urethral stricture (not specified as infectious)
CCS:113,PheCode:599.1,transurethral resection of prostate (turp),urinary obstruction
CCS:113,PheCode:599.2,transurethral resection of prostate (turp),retention of urine
CCS:113,PheCode:600,transurethral resection of prostate (turp),hyperplasia of prostate
CCS:113,PheCode:601.1,transurethral resection of prostate (turp),prostatitis
CCS:113,PheCode:601.12,transurethral resection of prostate (turp),chronic prostatitis
CCS:115,PheCode:604,circumcision,disorders of penis
CCS:115,PheCode:604.1,circumcision,redundant prepuce and phimosis/bxo
CCS:115,PheCode:751.12,circumcision,congenital anomalies of male genital organs
CCS:116,PheCode:600,"diagnostic procedures, male genital",hyperplasia of prostate
CCS:116,PheCode:601,"diagnostic procedures, male genital",inflammatory diseases of prostate
CCS:116,PheCode:601.1,"diagnostic procedures, male genital",prostatitis
CCS:116,PheCode:796,"diagnostic procedures, male genital",elevated prostate specific antigen [psa]
CCS:117,PheCode:601,"other non-or therapeutic procedures, male genital",inflammatory diseases of prostate
CCS:117,PheCode:601.8,"other non-or therapeutic procedures, male genital",other inflammatory disorders of male genital organs
CCS:117,PheCode:603,"other non-or therapeutic procedures, male genital",other disorders of testis
CCS:117,PheCode:603.1,"other non-or therapeutic procedures, male genital",hydrocele
CCS:117,PheCode:603.2,"other non-or therapeutic procedures, male genital",spermatocele
CCS:117,PheCode:604,"other non-or therapeutic procedures, male genital",disorders of penis
CCS:117,PheCode:604.1,"other non-or therapeutic procedures, male genital",redundant prepuce and phimosis/bxo
CCS:117,PheCode:604.3,"other non-or therapeutic procedures, male genital",peyronie's disease
CCS:118,PheCode:187,"other or therapeutic procedures, male genital",cancer of other male genital organs
CCS:118,PheCode:187.1,"other or therapeutic procedures, male genital",malignant neoplasm of unspecified male genital organ
CCS:118,PheCode:550.1,"other or therapeutic procedures, male genital",inguinal hernia
CCS:118,PheCode:597,"other or therapeutic procedures, male genital",other disorders of urethra and urinary tract
CCS:118,PheCode:597.1,"other or therapeutic procedures, male genital",urethral stricture (not specified as infectious)
CCS:118,PheCode:601,"other or therapeutic procedures, male genital",inflammatory diseases of prostate
CCS:118,PheCode:601.8,"other or therapeutic procedures, male genital",other inflammatory disorders of male genital organs
CCS:118,PheCode:603,"other or therapeutic procedures, male genital",other disorders of testis
CCS:118,PheCode:603.1,"other or therapeutic procedures, male genital",hydrocele
CCS:118,PheCode:603.2,"other or therapeutic procedures, male genital",spermatocele
CCS:118,PheCode:604,"other or therapeutic procedures, male genital",disorders of penis
CCS:118,PheCode:604.1,"other or therapeutic procedures, male genital",redundant prepuce and phimosis/bxo
CCS:118,PheCode:608,"other or therapeutic procedures, male genital",other disorders of male genital organs
CCS:118,PheCode:751.12,"other or therapeutic procedures, male genital",congenital anomalies of male genital organs
CCS:119,PheCode:218,"oophorectomy, unilateral and bilateral",benign neoplasm of uterus
CCS:119,PheCode:218.1,"oophorectomy, unilateral and bilateral",uterine leiomyoma
CCS:119,PheCode:218.2,"oophorectomy, unilateral and bilateral",other benign neoplasm of uterus
CCS:119,PheCode:220,"oophorectomy, unilateral and bilateral",benign neoplasm of ovary
CCS:119,PheCode:221,"oophorectomy, unilateral and bilateral",benign neoplasm of other female genital organs
CCS:119,PheCode:614,"oophorectomy, unilateral and bilateral",inflammatory diseases of female pelvic organs
